SAMPLE_NUMBER,SAMPLE_ID,LATITUDE,LONGITUDE,BOX_NUMBER,COLLECTION_DATE,COLLECTION_TIME,SAMPLE_BAG,BEFORE_PHOTO_NUMBER,AFTER_PHOTO_NUMBER,SHOT_MEASUREMENT_X,SHOT_MEASUREMENT_Y,PENETROMETER_READING,RELIABILITY_,NOTES,IMAGES,,,,,,,
82,2019030600_SAMP-1-WILLCOX,32.117632,-109.900288,2019030600,2019-03-06,,SAM.#1 WILLCOX,,,,,,,WILLCOX PLAYA,IMG_8209,IMG_8210,IMG_8211,IMG_8212,IMG_8213,IMG_8214,IMG_8215,
83,2019030600_SAMP-2-WILLCOX,32.117412,-109.900211,2019030600,2019-03-06,,SAM.#2 WILLCOX,,,,,,,WILLCOX PLAYA,IMG_8216,IMG_8217,IMG_8218,IMG_8219,IMG_8220,IMG_8221,IMG_8222,IMG_8223
84,2019030600_SAMP-3-WILLCOX,32.117412,-109.900211,2019030600,2019-03-06,,SAM.#3,,,,,,,WILLCOX PLAYA,IMG_8216,IMG_8217,IMG_8218,IMG_8219,IMG_8220,IMG_8221,IMG_8222,IMG_8223
85,2019030600_SB10-TOP,32.117472,-109.900365,2019030600,2019-03-06,,SB10 TOP,,,,,,,WILLCOX PLAYA,IMG_8238,IMG_8239,IMG_8240,,,,,
86,2019030600_SB11-BOTTOM,32.117472,-109.900365,2019030600,2019-03-06,,SB11 BOTTOM,,,,,,,WILLCOX PLAYA,IMG_8238,IMG_8239,IMG_8240,,,,,
87,2019030600_SB12,32.117613,-109.900295,2019030600,2019-03-06,,SB12,,,,,,,WILLCOX PLAYA,IMG_8241,IMG_8242,IMG_8243,,,,,
88,2019030600_SB13-TOP,32.215401,-109.781935,2019030600,2019-03-06,11:44 AM,SB13 TOP,,,,,,,WILLCOX PLAYA,IMG_8244,IMG_8245,IMG_8246,,,,,
89,2019030600_SB14-BOTTOM,32.215401,-109.781935,2019030600,2019-03-06,11:44 AM,SB14 BOTTOM,,,,,,,WILLCOX PLAYA,IMG_8244,IMG_8245,IMG_8246,,,,,
90,2019030600_SB15,32.215425,-109.781839,2019030600,2019-03-06,,SB15,,,,,,,WILLCOX PLAYA,IMG_8252,IMG_8253,IMG_8254,,,,,
91,2019030600_SB16,32.215391,-109.781814,2019030600,2019-03-06,12:03 PM,SB16,,,,,,,WILLCOX PLAYA,IMG_8255,IMG_8256,IMG_8257,,,,,
92,2019030600_SB17,32.266825,-108.878344,2019030600,2019-03-06,,SB17,,,,,,,,IMG_8266,IMG_8267,IMG_8268,,,,,
93,2019030600_SB18,32.266809,-108.878283,2019030600,2019-03-06,,SB18,,,,,,,,IMG_8269,IMG_8270,IMG_8271,IMG_8272,,,,
94,2019030600_SB4,32.117412,-109.900211,2019030600,2019-03-06,,SB4,,,,,,,WILLCOX PLAYA,IMG_8216,IMG_8217,IMG_8218,IMG_8219,IMG_8220,IMG_8221,IMG_8222,IMG_8223
95,2019030600_SB5,32.117403,-109.900177,2019030600,2019-03-06,,SB5,,,,,,,WILLCOX PLAYA,IMG_8224,,,,,,,
96,2019030600_SB6,32.117381,-109.900121,2019030600,2019-03-06,,SB6,,,,,,,WILLCOX PLAYA,IMG_8225,IMG_8226,IMG_8227,,,,,
97,2019030600_SB7,32.117348,-109.900103,2019030600,2019-03-06,,SB7,,,,,,,WILLCOX PLAYA,IMG_8228,IMG_8229,IMG_8230,,,,,
98,2019030600_SB8,32.117330,-109.916587,2019030600,2019-03-06,,SB8,,,,,,,WILLCOX PLAYA,IMG_8231,IMG_8232,IMG_8233,IMG_8234,,,,
99,2019030600_SB9,32.117361,-109.900028,2019030600,2019-03-06,,SB9,,,,,,,WILLCOX PLAYA,IMG_8235,IMG_8236,IMG_8237,IMG_8238,,,,
100,IN-FRIDGE_12.0S-WATER,32.287634,-108.866271,IN FRIDGE,2018-09-20,,12.0S-WATER,,,,,,,,,,,,,,,
101,IN-FRIDGE_12.8N-ROAD,32.293665,-108.857449,IN FRIDGE,2018-09-20,,12.8N-ROAD,,,,,,,,,,,,,,,
102,XXXXXXXX00_1,32.278049,-108.888698,XXXXXXXX00,,,1,,,,,,,,,,,,,,,
103,XXXXXXXX00_1-E,32.278049,-108.888645,XXXXXXXX00,,,1-E,,,,,,,,,,,,,,,
104,XXXXXXXX00_1-N,32.278094,-108.888698,XXXXXXXX00,,,1-N,,,,,,,,,,,,,,,
105,XXXXXXXX00_1-S,32.278004,-108.888698,XXXXXXXX00,,,1-S,,,,,,,,,,,,,,,
106,XXXXXXXX00_1-W,32.278049,-108.888751,XXXXXXXX00,,,1-W,,,,,,,,,,,,,,,
107,XXXXXXXX00_2,32.278740,-108.888615,XXXXXXXX00,,,2,,,,,,,,,,,,,,,
108,XXXXXXXX00_2-E,32.278740,-108.888562,XXXXXXXX00,,,2-E,,,,,,,,,,,,,,,
109,XXXXXXXX00_2-N,32.278785,-108.888615,XXXXXXXX00,,,2-N,,,,,,,,,,,,,,,
